example_id,customer_message,gold_intent,predicted_intent,intent_confidence,intent_correct,best_retrieval_similarity,reply,generation_mode,lexical_overlap,unsafe_claim,asks_for_next_step,escalation_decision,escalation_score,escalation_reasons,historical_case_count
1,"@AmazonHelp Bought e-gift card sent to recipient, she got already redeemed message. Amazon says “cust is responsible for card after purchase” that’s it!",Payment & Billing,Payment & Billing,0.9653040065729841,True,0.3910977374833635,"I'm sorry you're experiencing a payment or billing issue. Please check the payment method and the latest transaction details. If the issue remains unresolved, please contact Amazon support so the charge can be reviewed.",Grounded fallback,0.06666666666666667,False,True,AUTO-HANDLE,0,The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
2,"@AmazonHelp What on earth has happened to you guys?  Just like the last holiday season...late deliveries, incorrect orders. #frustrated",Delivery & Order Tracking,Delivery & Order Tracking,0.9188124876037792,True,0.3098183220058175,"I'm sorry about the delivery delay. Please check the latest tracking update for your order. If the package still hasn't arrived by the updated delivery date, please contact Amazon support so the available options can be reviewed.",Grounded fallback,0.06060606060606061,False,True,AUTO-HANDLE,2,Customer language indicates strong frustration or dissatisfaction. | The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
3,@AmazonHelp Give me my money back....that would help.......at this point yall have turned my birthday gift into a nightmare.....my bday was in JUNE,Returns & Refunds,General / Other,0.28778070908949627,False,0.35196545529346923,I'm happy to help. Please provide a few more details about the issue you're experiencing so we can determine the best way to assist you.,Grounded fallback,0.20833333333333334,False,True,AUTO-HANDLE,2,Intent classification confidence is low. | The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
4,@AmazonHelp Have not received any pick even after I conceded to their rigid processes forcing me to buy a known defective model. The customer support +,Returns & Refunds,Customer Service / Complaint,0.7591231784288057,False,0.38358461950201705,I'm sorry that your issue has not been resolved. I understand how frustrating that can be. Please provide the relevant order or case details so the issue can be reviewed further.,Grounded fallback,0.23076923076923078,False,True,AUTO-HANDLE,2,The predicted intent is a customer-service complaint. | The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
5,@AmazonHelp newest update for Amazon Music lags the hell out of my Galaxy S7 phone and causes it to overheat if I listen to music w/ Amazon Music. Already caused my phone to force a restart twice today and is lagging so hard that the music is skipping and catching.,Technical / App Issues,Technical / App Issues,0.9588078553126071,True,0.5566038644060298,"I'm sorry you're experiencing a technical issue. Please try refreshing the page or restarting the app and try again. If the problem continues, please contact Amazon support with the details of the issue.",Grounded fallback,0.39285714285714285,False,True,AUTO-HANDLE,0,The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
6,So @AmazonHelp can’t even supply their own products!,Product & Seller Issues,Product & Seller Issues,0.9970380594253826,True,0.7268395240895599,I'm sorry you're having an issue with the product or seller. Please share the relevant order or product details so the issue can be reviewed and the appropriate options provided.,Grounded fallback,0.23076923076923078,False,True,AUTO-HANDLE,0,The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
7,"@AmazonHelp Good morning. I’m facing problems to access my account. I’ve reset the password several times, but the problem remains. Can you help me on this?",Account & Access,Account & Access,0.997610902669246,True,0.3754607273828175,"I'm sorry you're having trouble accessing your account. Please check that you're using the correct account details and follow the available account verification or recovery steps. If you're still unable to access the account, Amazon support can assist further.",Grounded fallback,0.29411764705882354,False,True,AUTO-HANDLE,0,The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
8,@AmazonHelp Is the Echo Show no longer supported?,Product & Seller Issues,Customer Service / Complaint,0.7092033790252985,False,0.4689092423428346,I'm sorry that your issue has not been resolved. I understand how frustrating that can be. Please provide the relevant order or case details so the issue can be reviewed further.,Grounded fallback,0.11538461538461539,False,True,AUTO-HANDLE,2,The predicted intent is a customer-service complaint. | The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
9,@AmazonHelp Hi. No. I am not filing out a form one more time for the same complaint. That’s not how it works this time. You get in touch with me,Customer Service / Complaint,Customer Service / Complaint,0.8767833666150824,True,0.41385285652315273,I'm sorry that your issue has not been resolved. I understand how frustrating that can be. Please provide the relevant order or case details so the issue can be reviewed further.,Grounded fallback,0.038461538461538464,False,True,AUTO-HANDLE,2,The predicted intent is a customer-service complaint. | The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
10,@AmazonHelp I offered to buy a new one as long as this one got refunded and I got “it’s out of warranty” even tho it’s been less than a year,Product & Seller Issues,Returns & Refunds,0.8471446676357223,False,0.351402183688284,"I'm sorry you're having trouble with your return or refund. Please check the latest status of your return/refund. If the refund is still missing, please contact Amazon support so we can look into the issue.",Grounded fallback,0.16129032258064516,False,True,AUTO-HANDLE,0,The issue appears suitable for an automated response based on intent confidence and historical support evidence.,5
